无,无,无
2019山东大学十佳共青团员,共青团山东大学委员会,2019.04
2019山东省高等学校优秀学生干部,山东省教育厅,2019.04
2019山东省高等学校优秀学生,山东省教育厅,2019.04
2019山东大学优秀共青团员,共青团山东大学委员会,2019.05
2019山东大学优秀学生干部,山东大学,2019.09
2019山东大学军训优秀学员,山东大学,2019.09
2019山东大学学业奖 三等,山东大学,2019.09
2019山东大学学业奖 二等,山东大学,2019.09
2019山东大学特长奖,山东大学,2019.09
2019山东大学学业奖 一等,山东大学,2019.09
2019山东大学校级三好学生,山东大学,2019.09
2019国家奖学金,中华人民共和国教育部,2019.12
2019国家励志奖学金,中华人民共和国教育部,2019.12
2019山东大学校长奖,山东大学,2019.12
2019山东大学十佳班长,山东大学,2019.12
2020山东大学十佳共青团员,共青团山东大学委员会,2020.04
2020山东省高等学校优秀学生干部,山东省教育厅,2020.04
2020山东省高等学校优秀学生,山东省教育厅,2020.04
2020山东大学优秀共青团员,共青团山东大学委员会,2020.05
2020山东大学学业奖 三等,山东大学,2020.09
2020山东大学学业奖 二等,山东大学,2020.09
2020山东大学学业奖 一等,山东大学,2020.09
2020山东大学特长奖,山东大学,2020.09
2020山东大学校级三好学生,山东大学,2020.09
2020山东大学优秀学生干部,山东大学,2020.09
2020国家奖学金,中华人民共和国教育部,2020.12
2020国家励志奖学金,中华人民共和国教育部,2020.12
2020山东大学校长奖,山东大学,2020.12
2020山东大学十佳班长,山东大学,2020.12
2021山东省高等学校优秀学生干部,山东省教育厅,2021.04
2021山东大学十佳共青团员,共青团山东大学委员会,2021.04
2021山东省高等学校优秀学生,山东省教育厅,2021.04
2021山东大学优秀共青团员,共青团山东大学委员会,2021.05
2021山东大学学业奖 二等,山东大学,2021.09
2021山东大学学业奖 一等,山东大学,2021.09
2021山东大学学业奖 三等,山东大学,2021.09
2021山东大学特长奖,山东大学,2021.09
2021山东大学校级三好学生 ,山东大学,2021.09
2021山东大学军训优秀学员,山东大学,2021.09
2021山东大学优秀学生干部,山东大学,2021.09
2021国家奖学金,中华人民共和国教育部,2021.12
2021国家励志奖学金,中华人民共和国教育部,2021.12
2021山东大学校长奖,山东大学,2021.12
2021山东大学十佳班长,山东大学,2021.12
2022山东省高等学校优秀学生,山东省教育厅,2022.04
2022山东省高等学校优秀学生干部,山东省教育厅,2022.04
2022山东大学十佳共青团员,共青团山东大学委员会,2022.04
2022山东大学优秀共青团员,共青团山东大学委员会,2022.05
2022山东大学优秀学生干部,山东大学,2022.09
2022山东大学校级三好学生 ,山东大学,2022.09
2022山东大学军训优秀学员,山东大学,2022.09
2022山东大学特长奖,山东大学,2022.09
2022山东大学学业奖 二等,山东大学,2022.09
2022山东大学学业奖 三等,山东大学,2022.09
2022山东大学学业奖 一等,山东大学,2022.09
2021全国大学生电子设计竞赛（本科组）全国壹等奖,全国大学生电子设计竞赛组织委员会,2021.12
2021中国国际“互联网+”大学生创新创业大赛金奖,中国国际“互联网+”大学生创新创业大赛组织委员会,2021.10
2022全国大学生智能汽车竞赛一等奖,全国大学生智能汽车竞赛组织委员会,2022.08
2021全国大学生智能汽车竞赛一等奖,全国大学生智能汽车竞赛组织委员会,2021.09
2022全国大学生节能减排社会实践与科技竞赛一等奖,全国大学生节能减排社会实践与科技竞赛委员会,2022.08
2021全国大学生节能减排社会实践与科技竞赛一等奖,全国大学生节能减排社会实践与科技竞赛委员会,2021.08
2021全国大学生数学建模竞赛本科组一等奖,全国大学生数学建模竞赛组织委员会,2021.11
